decision_id,logged_at_utc,threat_score,predicted_label,true_label,explanation,routing_decision,model_version
1,2026-08-17T06:54:05.838240+00:00,0.9950925728104792,1,1,Average Packet Size=5.0 increased risk | Total Length of Fwd Packets=2.0 increased risk | PSH Flag Count=1.0 increased risk,auto_escalate,cd69f531da6dd6a9
2,2026-08-17T06:54:05.838240+00:00,0.9999787321514896,1,1,Bwd Packet Length Mean=1932.5 increased risk | Total Length of Bwd Packets=11595.0 increased risk | Average Packet Size=992.2 increased risk,auto_escalate,cd69f531da6dd6a9
3,2026-08-17T06:54:05.838240+00:00,0.0001608276733949,0,0,Average Packet Size=146.5 decreased risk | Bwd Packet Length Mean=242.0 decreased risk | Init Win bytes forward=-1.0 decreased risk,auto_close,cd69f531da6dd6a9
4,2026-08-17T06:54:05.838240+00:00,0.9999960796612828,1,1,Bwd Packet Length Mean=1656.4 increased risk | Total Length of Bwd Packets=11595.0 increased risk | Average Packet Size=814.2 increased risk,auto_escalate,cd69f531da6dd6a9
5,2026-08-17T06:54:05.838240+00:00,0.9944126792060513,1,1,Average Packet Size=5.0 increased risk | Total Length of Fwd Packets=2.0 increased risk | PSH Flag Count=1.0 increased risk,auto_escalate,cd69f531da6dd6a9
6,2026-08-17T06:54:05.838240+00:00,0.0083133445179632,0,0,Init Win bytes forward=-1.0 decreased risk | Bwd Packet Length Mean=112.8 decreased risk | Average Packet Size=86.5 decreased risk,auto_close,cd69f531da6dd6a9
7,2026-08-17T06:54:05.838240+00:00,0.0001648795372523,0,0,Average Packet Size=88.5 decreased risk | Bwd Packet Length Mean=132.0 decreased risk | Init Win bytes forward=-1.0 decreased risk,auto_close,cd69f531da6dd6a9
8,2026-08-17T06:54:05.838240+00:00,0.9976534996262824,1,1,Bwd Packet Length Mean=1932.5 increased risk | Total Length of Bwd Packets=11595.0 increased risk | Average Packet Size=1324.9 increased risk,auto_escalate,cd69f531da6dd6a9
9,2026-08-17T06:54:05.838240+00:00,0.0040172215502754,0,0,Destination Port=49810.0 decreased risk | Average Packet Size=31.0 decreased risk | Bwd Packet Length Mean=0.0 decreased risk,auto_close,cd69f531da6dd6a9
10,2026-08-17T06:54:05.838240+00:00,0.9945732548937332,1,1,Average Packet Size=3.0 increased risk | Total Length of Fwd Packets=0.0 increased risk | PSH Flag Count=1.0 increased risk,auto_escalate,cd69f531da6dd6a9
11,2026-08-17T06:54:05.838240+00:00,0.0218811687615037,0,0,Average Packet Size=187.9 decreased risk | Bwd Packet Length Mean=218.0 decreased risk | Total Length of Bwd Packets=872.0 decreased risk,auto_close,cd69f531da6dd6a9
12,2026-08-17T06:54:05.838240+00:00,0.0004514014562076,0,0,Average Packet Size=66.8 decreased risk | Bwd Packet Length Mean=123.0 decreased risk | Init Win bytes forward=-1.0 decreased risk,auto_close,cd69f531da6dd6a9
13,2026-08-17T06:54:05.838240+00:00,0.0256777187487806,0,0,Average Packet Size=353.6 decreased risk | Bwd Packet Length Mean=758.0 decreased risk | Total Length of Bwd Packets=5306.0 decreased risk,auto_close,cd69f531da6dd6a9
14,2026-08-17T06:54:05.838240+00:00,0.089989420679067,0,0,Average Packet Size=9.0 decreased risk | Destination Port=80.0 increased risk | Bwd Packet Length Mean=0.0 decreased risk,auto_close,cd69f531da6dd6a9
15,2026-08-17T06:54:05.838240+00:00,0.0131803909932985,0,0,Bwd Packet Length Mean=307.6 decreased risk | Destination Port=443.0 decreased risk | Average Packet Size=183.6 decreased risk,auto_close,cd69f531da6dd6a9
16,2026-08-17T06:54:05.838240+00:00,0.9999787321514896,1,1,Bwd Packet Length Mean=1656.4 increased risk | Total Length of Bwd Packets=11595.0 increased risk | Average Packet Size=856.8 increased risk,auto_escalate,cd69f531da6dd6a9
17,2026-08-17T06:54:05.838240+00:00,0.9950946136268056,1,1,Average Packet Size=5.0 increased risk | Total Length of Fwd Packets=2.0 increased risk | PSH Flag Count=1.0 increased risk,auto_escalate,cd69f531da6dd6a9
18,2026-08-17T06:54:05.838240+00:00,0.052592602521498,0,0,Destination Port=5908.0 decreased risk | Total Length of Fwd Packets=19897.0 decreased risk | Bwd Packet Length Mean=0.0 decreased risk,auto_close,cd69f531da6dd6a9
